Nom du lieu,Discipline,Offre,Avantage tarifaire / service,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Musée d'Orsay,Musée,Tarif réduit sur l'ensemble de l'offre d'adhésion Carte Blanche. Offre valable uniquement en billetterie physique du musée.,Avantage tarifaire,Abonnement à tarif réduit,1 Rue de la Légion d'Honneur,Paris,48.85997048754518,2.326569855382542,"[255, 0, 0]"
Musée du Domaine royal de Marly,Musée,Tarif réduit durant les vacances scolaires de la zone C. Tarif réduit durant les évènements exceptionnels organisés en collaboration avec les musées de France,Avantage tarifaire,Tarif réduit,1 Grille royale,Marly-le-Roi,48.85902283420541,2.1055758222085634,"[255, 0, 0]"
Musée national Gustave Moreau,Musée,"Tarif réduit sur billet d'entrée du musée Moreau (hors exposition): 5€ au lieu de 7€. Tarif réduit sur le billet du musée Moreau (pendant exposition) : 7 au lieu de 9€, Tarif réduit sur le billet jumelé Moreau/Henner (hors expo) : 7€ au lieu de 9€ et (pendant expo) : 9€ au lieu de 11€.",Avantage tarifaire,Tarif réduit,14 Rue de la Rochefoucauld,Paris,48.87787766577543,2.3344233589602963,"[255, 0, 0]"
Musée Picasso,Musée,Pass solo 1 an : 25€ au lieu de 27€  Pass solo 2 ans : 47€au lieu de 50€ Pass duo 1 an : 45€ au lieu de 50€ Pass duo 2 ans : 80€ au lieu de 90€,Avantage tarifaire,Abonnement à tarif réduit,5 Rue de Thorigny,Paris,48.85967320187293,2.3626178675406124,"[255, 0, 0]"
Opéra Comique,Musique,Opéras : -35 ans 1 place à -35 % même tarif accompagnant Concert : à l'heure du déjeuner 1 place achetée = 1 place offerte visite Patrimoine : visites découvertes à 5€,Avantage tarifaire,"Tarif réduit,1 place achetée = 1 place offerte,Tarif réduit accompagnant",1 Place Boieldieu,Paris,48.871206536746996,2.3378342575639386,"[255, 0, 0]"
Périphérique - Technopol,Musique,"Les détenteurs du passe Navigo qui ont le meilleur tarif (réduit pour les demandeurs d'emploi, les étudiants et les porteurs d'une carte d'invalidité) peuvent faire bénéficier une autre personne d'un tarif réduit à 15€ au lieu de 25€ pour le tarif régulier Pass 1 nuit.",Avantage tarifaire,Tarif réduit accompagnant,2 Rue de la Clôture,Paris,48.89724260675152,2.3949760476824635,"[255, 0, 0]"
Cite Médiévale de Provins,Patrimoine | Expérience,"Les abonnés Navigo peuvent bénéficier des tarifs suivants :
-	PASS PROVINS adulte au tarif préférentiel de 15 €
-	PASS PROVINS enfant au tarif préférentiel de 9.50 €
Offre valable uniquement sur place et sur présentation d'un justificatif Navigo valide.",Avantage tarifaire,Tarif réduit,4 Chemin de Villecran,Provins,48.5604069,3.2806952,"[255, 0, 0]"
Scène Nationale Marne-La-Vallée - Ferme Du Buisson + Centre D'art (Tram),Théâtre | Musique | Danse,Tarif réduit à 10€ dans la limite d'un quota de 10 places par représentation spécifique,Avantage tarifaire,Tarif réduit,Allée de la Ferme,Noisiel,48.84447488673264,2.62427083216292,"[255, 0, 0]"
Studio Ciné,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,207 Rue de Paris,Taverny,49.0263165175916,2.2247530879577453,"[255, 0, 0]"
Théâtre - Cinéma du Garde-Chasse,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,181 bis Rue de Paris,Les Lilas,48.88216807952698,2.420067276719996,"[255, 0, 0]"
Théâtre Claude Debussy,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,116 Avenue du Général de Gaulle,Maisons-Alfort,48.80143332066043,2.430424457816078,"[255, 0, 0]"
Théâtre De Brétigny,Théâtre | Musique | Danse,Possibilité de faire bénéficier une autre personne du tarif réduit valable 1 seule fois et offre ponctuelles sur les évènements spécifiques,Avantage tarifaire,Tarif réduit accompagnant,3 Rue Henri Douard,Brétigny-sur-Orge,48.610169232389175,2.311442401520836,"[255, 0, 0]"
Théâtre De Brunoy - Sothevy,Théâtre | Musique | Danse,Tarif réduit valable sur tous les spectacles hors variétés et humour en tarif agglo,Avantage tarifaire,Tarif réduit,2 Rue Philisbourg,Brunoy,48.69744420077062,2.5055688306641084,"[255, 0, 0]"
Théâtre de l'Épée de Bois - Cartoucherie,Théâtre,"A partir de septembre 2023 : tous les jeudis, places à 17€ au lieu de 22€ pour les abonnés Navigo. Représentations à 19h et 21h (accueil 1h avant chaque représentation).
Réservations : 01 48 08 39 74 ou billetterie@epeedebois.com. Règlement : par téléphone ou sur place.
Précision d'accès au théâtre : l'accès se fait uniquement par la route du Champ de Manœuvre et non par le Parc Floral. Il se situe au fond du site de la Cartoucherie et possède de grandes portes et fenêtres rouge.",Avantage tarifaire,Tarif réduit,2 route du Champ de Manœuvre,Paris,48.836674,2.449793,"[255, 0, 0]"
Théâtre De Quincy-Sous-Sénart - Sothevy,Théâtre | Musique | Danse,Tarif réduit valable sur tous les spectacles hors variétés et humour en tarif agglo,Avantage tarifaire,Tarif réduit,2 Rue de Combs la ville,Quincy-Sous-Sénart,48.6717088435426,2.538913413700832,"[255, 0, 0]"
Théâtre Jean Vilar de Vitry-sur-Seine,Théâtre | Musique | Danse,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,1 Place Jean Vilar,Vitry-sur-Seine,48.788885056076445,2.389844266885003,"[255, 0, 0]"
Théâtre L'Avant Seine,Théâtre | Musique | Danse,Tarif A : 25€ au lieu de 31€ tarif B 15€ au lieu de 21€ sur une sélection de spectacles,Avantage tarifaire,Tarif réduit,88 Rue Saint-Denis,Colombes,48.92416673477565,2.2509754290041593,"[255, 0, 0]"
Théatre Louis Aragon - SCINACD,Théâtre | Musique | Danse,Tarif réduit (12€) pour les détenteurs du Navigo + une personne de leur choix,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",24 Boulevard de l'Hôtel de ville,Tremblay-en-France,48.95121561877038,2.5723499865777346,"[255, 0, 0]"
Théâtre Municipal de Fontainebleau,Théâtre,"Tarif réduit 2 (16€ zone 1 / 10€ zone 2) sur tous les spectacles de la saison. Offre valable en ligne et en billetterie, soumise à la vérification d’un justificatif Navigo en cours de validité. »",Avantage tarifaire,Tarif réduit,Rue Richelieu,Fontainebleau,48.403390989234396,2.697733732523482,"[255, 0, 0]"
Théâtre Nanterre-Amandiers,Théâtre | Musique | Danse,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,7 Avenue Pablo Picasso,Nanterre,48.89361209120703,2.2134878942959513,"[255, 0, 0]"
Théâtre Sénart Scène Nationale,Théâtre | Musique | Danse,Tarif dégressif de 31 à - 61 ans tarifs de 13€ à 29€ et pour les -30 ans à +62 ans billets de 10€ à 21 €,Avantage tarifaire,Tarif réduit,8 Allée de la Mixité,Lieusaint,48.61511323388371,2.5402664199561356,"[255, 0, 0]"
Institut Giacometti,Centre d'art,"Les abonnés Navigo bénéficient d’un tarif préférentiel à 7€ pour l’exposition ALBERTO GIACOMETTI. LE NEZ, du 7 octobre 2023 au 7 janvier 2024. Offre valable uniquement en billetterie de la fondation, sur présentation d’un justification Navigo en cours de validité",Avantage tarifaire,Tarif réduit,5 rue Victor Schœlcher,Paris,48.8362248,2.3310707,"[255, 0, 0]"
Abbaye de Maubuisson,Centre d'art,Entrée gratuite aux expositions et reduc -50% à -60% sur les boissons,Avantage tarifaire et service,"Gratuité,Service exclusif",Avenue Richard de Tour,Saint-Ouen-l'Aumône,49.047435,2.114396,"[0, 9, 255]"
Atelier de Paris - Centre de Développement Chorégraphique National (CDCN),Danse,Tarif réduit offre découverte,Avantage tarifaire,Tarif réduit,Route du Champ de Manœuvre,Paris,48.83505099695892,2.4499719557464426,"[255, 0, 0]"
Ballon de Paris Generali,Expérience,Moins 2€ sur les billets adultes (12 ans et +) soit 13 € au lieu de 15€ ttc,Avantage tarifaire,Tarif réduit,Parc André Citroën,Paris,48.841801230486794,2.2742121992982476,"[255, 0, 0]"
Basilique de Saint-Denis,Patrimoine,"Tarif spécial sur billet simple, billet jumelé Panthéon – Basilique de Saint-Denis",Avantage tarifaire,Tarif réduit,1 Rue de la Légion d’honneur,Saint-Denis,48.93546418832323,2.359827873351399,"[255, 0, 0]"
Centre culturel Aragon-Triolet,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,Voie du Fer À Cheval,Orly,48.74520515700281,2.4082146692388386,"[255, 0, 0]"
Centre d'Art Contemporain (CAC) Brétigny,Centre d'art,Invitation aux vernissages et rencontres d'artistes,Avantage service,"Invitation aux vernissages,Rencontre d'artistes",Rue Henri Douard,Brétigny-sur-Orge,48.609724150729846,2.3116023377789476,"[0, 255, 26]"
Centre de Wallonie Bruxelles,Centre d'art,"Tarif réduit sur l'ensemble de la programmation, -5% à la librairie",Avantage tarifaire et service,"Tarif réduit,Réduction en librairie",7 Rue de Venise,Paris,48.86093704916166,2.3512210442457286,"[0, 9, 255]"
Centre Pompidou,Musée,"Accès au tarif réduit pour les porteurs du passe Navigo pour les expositions temporaires et la collection permanente, sur les créneaux de fin de journée, à partir de 18h. 
Possibilité de faire bénéficier un proche du tarif réduit à partir de 18h, si le porteur du passe Navigo est déjà éligible au tarif réduit.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place Georges-Pompidou,Paris,48.86064131756262,2.352243657582371,"[255, 0, 0]"
Chaplin - Denfert,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,24 Place Denfert-Rochereau,Paris,48.83388823848213,2.3309798913284325,"[255, 0, 0]"
Château d'Auvers,Patrimoine | Expérience | Musée | Jardin,Tarif réduit de 10€ du mardi au vendredi. Offre valable sur présentation d’un justification Navigo en billetterie du château.,Avantage tarifaire,Tarif réduit,Chemin des berthelées,Auvers-sur-Oise,49.071963398953926,2.166260075377671,"[255, 0, 0]"
Château de Fontainebleau,Patrimoine | Jardin,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,Place Charles de Gaulle,Fontainebleau,48.40210111147928,2.6994817164684837,"[255, 0, 0]"
Château de Maisons - Centre des Monuments Nationaux (CMN),Patrimoine | Jardin,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,2 Avenue Carnot,Maisons-Laffitte,48.94721054218889,2.1537703330306632,"[255, 0, 0]"
Château de Monte-Cristo,Patrimoine | Jardin,Tarif réduit le samedi uniquement,Avantage tarifaire,Tarif réduit,Chemin du Haut des Ormes,Le Port-Marly,48.88556828479396,2.103430666776073,"[255, 0, 0]"
Cinéma de Vanves,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,12 Rue Sadi Carnot,Vanves,48.82168016060182,2.288287650835474,"[255, 0, 0]"
Cinéma des Cinéastes,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,7 Avenue de Clichy,Paris,48.88434076427047,2.326889455135658,"[255, 0, 0]"
Cinéma Itinérant de Cinessonne,Cinéma,"Pour les abonnés Navigo, accès au tarif réduit pour toute la programmation du Cinéma Itinérant de Cinessonne. Offre valable sur présentation du passe Navigo en cours à la billetterie des lieux partenaires.",Avantage tarifaire,Tarif réduit,15 Place Jacques Brel,Ris-Orangis,48.65611711139474,2.4084416343446633,"[255, 0, 0]"
Cinéma Jean Vigo,Cinéma,Tarif réduit à la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,1 Rue Pierre et Marie Curie,Gennevilliers,48.92855071660554,2.2932659170910124,"[255, 0, 0]"
Cinéma Le Lido,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,70 Avenue de la République,Saint-Maur-des-Fossés,48.798527112740636,2.4857207590684864,"[255, 0, 0]"
Cinéma Trianon,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet (en attente de confirmation),Avantage tarifaire,Tarif réduit,3 bis Rue Marguerite Renaudin,Sceaux,48.77762579653126,2.2927943227751,"[255, 0, 0]"
Compagnie Oposito - Le Moulin Fondu,Théâtre | Danse | Cirque,"Tarif specifiques lors de visites organisées, sorties et rencontres privilégiées",Avantage tarifaire,Tarif réduit,3 Rue Marcel Bourgogne,Garges-lès-Gonesse,48.97035974070976,2.416434685746517,"[255, 0, 0]"
Conciergerie - Centre des Monuments Nationaux (CMN),Patrimoine | Musée,"Tarif spécial sur billet simple, billet jumelé Conciergerie – Sainte-Chapelle",Avantage tarifaire,Tarif réduit,2 Boulevard du Palais,Paris,48.85601771942001,2.3454942197549964,"[255, 0, 0]"
Conservatoire à Rayonnement Régional de Cergy-Pontoise,Musique,Tarif réduit 5 € ou 10 € en fonction des concerts,Avantage tarifaire,Tarif réduit,Parvis de la Préfecture,Cergy-Pontoise,49.036300240703774,2.078411545475593,"[255, 0, 0]"
Coulommiers Pays de Brie Tourisme,Expérience,1 place offerte pour 1 place achetée sur prestations itinérance touristique avec Ferté Jazz + Atelier du gout en session privée 1 degustation de brie et champagne ou 1 place de cours de cuisine  masterclass offerte par session,Avantage tarifaire et service,"1 place achetée = 1 place offerte,Cadeau",7 Rue du Général de Gaulle,Coulommiers,48.812484693652635,3.084282598876224,"[0, 9, 255]"
Dali Paris,Musée,"Plein tarif (26 ans +) : 13€, Réduits (enseignants, demandeurs d’emploi, -26 ans) : 9€, Gratuité : -8 ans",Avantage tarifaire,Tarif réduit,11 Rue Poulbot,Paris,48.886440248068254,2.3399389477707704,"[255, 0, 0]"
Eole Factory Festival - 7 au 10 septembre 2023,Musique,"Ouverture du tarif réduit aux abonnés Navigo Mois, Annuel, Senior, imagine R et Liberté +.",Avantage tarifaire,Tarif réduit,Allée des Îles Eric Tabarly,Mantes la jolie,48.998462,1.71948,"[255, 0, 0]"
Espace 1789,Théâtre | Danse | Cirque | Musique,"Ouverture du tarif réduit aux abonnés Navigo pour les spectacles de la saison 2023/2024 suivants : Maldonne, chorégraphie de Leïla Ka ; Carte blanche passinho, chorégraphie de Smaïl Kanouté ; Libre arbitre de Julie Bertin ; Basketteuses de Bamako de Thomas Guérineau ; Olympicorama, de Frédéric Ferrer. Offre valable uniquement en billetterie sur présentation d'un abonnement Navigo en cours de validité.",Avantage tarifaire,Tarif réduit,2 Rue Alexandre Bachelet,Saint-Ouen,48.916786176711895,2.351885206606994,"[255, 0, 0]"
Espace Bernard Mantienne,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,3 Voie de l’Aulne,Verrières-le-Buisson,48.75257579343267,2.2707802270539528,"[255, 0, 0]"
Festival D’Auvers-sur-Oise - 30 avril au 28 septembre 2023,Musique,"Pour les concerts à série unique : accès au tarif réduit pour les abonnés Navigo. Pour les concerts proposant plusieurs catégories de places : sur-classement des catégories 2 et 3 pour les abonnés Navigo (catégorie 2 au tarif de la 3 et catégorie 3 au tarif de la 4).
Offres valables par téléphone au 01 30 36 77 77 ou par mail à billetterie@festival-auvers.com et soumises à l’envoi d’un justificatif Navigo par mail.",Avantage tarifaire,Tarif réduit,5 Avenue Marcel Perrin,Méry-sur-Oise,49.06426127931548,2.1857005809815524,"[255, 0, 0]"
Festival Paris l'été - 10 au 30 juillet 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,106 Rue Brancion,Paris,48.830162261921394,2.3017207369362698,"[255, 0, 0]"
Festival Villes Des Musiques Du Monde - 13 octobre au 12 novembre 2023,Musique,Les abonnés Navigo concernés ont accès au tarif réduit sur les concerts du festival présentés au Point Fort d’Aubervilliers. Voir programmation sur le site du festival. Offre valable sur la billetterie en ligne et soumise à la présentation d’un justificatif Navigo le soir de la représentation.,Avantage tarifaire,Tarif réduit,174 Avenue Jean Jaurès,Aubervilliers,48.91667,2.41667,"[255, 0, 0]"
Festival We Love Green,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,42 Rue du Faubourg Poissonnière,Paris,48.83044355906428,2.4420578475611987,"[255, 0, 0]"
International Visual Théâtre,Théâtre,Tarif réduit à 15€ pour les détenteurs du pass Navigo et tarif découverte à 15 € pour la seconde personne dans le cadre du cercle navigo,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",7 Cité Chaptal,Paris,48.88146746684836,2.3330891478330322,"[255, 0, 0]"
Jeu De Paume,Musée,Tarif réduit sur Pass solo et Pass Duo/ offre limitée aux 1000 premiers abonnements,Avantage tarifaire,Abonnement à tarif réduit,1 Place de la Concorde,Paris,48.865805089610774,2.324057107545144,"[255, 0, 0]"
La Cinémathèque Française,Musée,Offre sur le Musée Méliès : 1 entrée plein tarif achetée / 1 entrée offerte. Offre valable uniquement sur place.,Avantage tarifaire,1 place achetée = 1 place offerte,51 Rue de Bercy,Paris,48.83722624395581,2.3825079044317525,"[255, 0, 0]"
La Clef,Théâtre | Musique | Danse,Tarif réduit sur une sélection de dates et sur un quota de places par dates.,Avantage tarifaire,Tarif réduit,46 Rue de Mareil,Saint-Germain-en-Laye,48.8938638276116,2.0884923363642933,"[255, 0, 0]"
La Dynamo de Banlieues Bleues,Musique,"Tarif abonné (8€ par concert) sur une sélection de 2 concerts par trimestre, dans la limite de 5 places par soirée. Réservation par téléphone uniquement et retrait sur place après contrôle de la validité.",Avantage tarifaire,Tarif réduit,9 Rue Gabrielle Josserand,Pantin,48.9034095,2.3933615,"[255, 0, 0]"
La Fauvette,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,21 Avenue D. Perdrigé,Neuilly-Plaisance,48.87314486472045,2.5106110180220105,"[255, 0, 0]"
La Ferme du Buisson,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,Allée de la Ferme,Noisiel,48.844472730784815,2.624274970625614,"[255, 0, 0]"
L'Arlequin,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,76 Rue de Rennes,Paris,48.85113012531865,2.330496840528188,"[255, 0, 0]"
Le Cinéma de Choisy-le-Roi,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,4 Avenue de Villeneuve Saint-Georges,Choisy-le-Roi,48.76619354799199,2.4146758083600304,"[255, 0, 0]"
Le Cube,Centre d'art,Tarif réduit de 5 € s'applique sur tous les spectacles et les concerts,Avantage tarifaire,Tarif réduit,20 Cour Saint-Vincent,Issy-les-Moulineaux,48.820015001764624,2.2533985971700017,"[255, 0, 0]"
Le Cyclop - Jean Tinguely,Centre d'art,Tarif réduit sur présentation du titre de transport,Avantage tarifaire,Tarif réduit,Le Bois des Pauvres,Milly-la-Forêt,48.41497112309029,2.4568552490819235,"[255, 0, 0]"
Le Lucernaire,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,53 Rue Notre-Dame-des-Champs,Paris,48.84425252907818,2.330409877432615,"[255, 0, 0]"
Le Majestic à Montereau,Théâtre | Danse | Musique,"Sur présentation d’un passe Navigo valide en caisse, les porteurs de passe résidant en dehors des communes de Montereau et des communes actionnaires - partenaires (Bazoches- sur-le-Betz, Cannes-Ecluse, Chevry-en-Sereine, Courcelles-en-Bassée, Donnemarie-Dontilly, La Grande Paroisse, Pont-sur-Yonne, Saint-Germain-Laval, Salins ,Thoury-Férottes, Villeneuve-la-guyard, Vernou-la-celle-sur-seine, , Fontenailles, Passy-sur-seine, Grisy-sur-seine, Balloy, Domats et Egligny) bénéficient des mêmes tarifs spéciaux «Partenaires» que ceux accordés aux habitants de ces communes. Voir la liste de ces tarifs sur le site de l’établissement.",Avantage tarifaire,Tarif réduit,Parvis Joséphine Baker,Montereau-Fault-Yonne,48.38543481987003,2.9520380846566843,"[255, 0, 0]"
Le Monfort Théâtre,Théâtre | Danse,Tarif réduit sur toute la programmation,Avantage tarifaire,Tarif réduit,106 Rue Brancion,Paris,48.830164616946824,2.3017203331208123,"[255, 0, 0]"
Le Point Fort d'Aubervilliers,Musique | Danse,Les abonnés Navigo concernés ont accès au tarif réduit sur une sélection de concerts. Voir programmation sur le site du Point Fort d’Aubervilliers. Offre valable sur la billetterie en ligne et soumise à la présentation d’un justificatif Navigo le soir de la représentation.,Avantage tarifaire,Tarif réduit,174 Avenue Jean Jaurès,Aubervilliers,48.91667,2.41667,"[255, 0, 0]"
Le Rexy,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,33 Rue du Général Delort,Provins,48.56054234148179,3.305345435579876,"[255, 0, 0]"
